filename,DI,AR,VR,HR
CTR1_DI=0.1SE.JPG,0.1,3.5,2.14,1.8
CTR1_DI=0.1NW.JPG,0.1,3.5,2.14,1.8
CTR1_DI=0.2NW.JPG,0.2,3.5,2.14,1.8
CTR1_DI=0.2SE.JPG,0.2,3.5,2.14,1.8
CTR1_DI=0.3NW.JPG,0.3,3.5,2.14,1.8
CTR1_DI=0.3SE.JPG,0.3,3.5,2.14,1.8
CTR1_DI=0.4NW.JPG,0.4,3.5,2.14,1.8
CTR1_DI=0.4SE.JPG,0.4,3.5,2.14,1.8
CTR1_DI=0.5NW.JPG,0.5,3.5,2.14,1.8
CTR1_DI=0.5SE.JPG,0.5,3.5,2.14,1.8
CTR1_DI=0.6NW.JPG,0.6,3.5,2.14,1.8
CTR1_DI=0.6SE.JPG,0.6,3.5,2.14,1.8
CTR1_DI=0.7NW.JPG,0.7,3.5,2.14,1.8
CTR1_DI=0.7SE.JPG,0.7,3.5,2.14,1.8
CTR1_DI=0.8NW.JPG,0.8,3.5,2.14,1.8
CTR1_DI=0.8SE.JPG,0.8,3.5,2.14,1.8
CTR1_DI=0.9NW.JPG,0.9,3.5,2.14,1.8
CTR1_DI=0.9SE.JPG,0.9,3.5,2.14,1.8
CTR1_DI=1.0NW.JPG,1.0,3.5,2.14,1.8
CTR1_DI=1.0SE.JPG,1.0,3.5,2.14,1.8
