filename,DI,AR,VR,HR
C1015_DI=0.0NE.JPG,0,10,1.444,1.106
C1015_DI=0.0SW.JPG,0,10,1.444,1.106
C1015_DI=0.2NE.JPG,0.2,10,1.444,1.106
C1015_DI=0.2SW.JPG,0.2,10,1.444,1.106
C1015_DI=0.4NE.JPG,0.4,10,1.444,1.106
C1015_DI=0.4SW.JPG,0.4,10,1.444,1.106
C1015_DI=0.6NE.JPG,0.6,10,1.444,1.106
C1015_DI=0.6SW.JPG,0.6,10,1.444,1.106
C1015_DI=0.8NE.JPG,0.8,10,1.444,1.106
C1015_DI=0.8SW.JPG,0.8,10,1.444,1.106
C1015_DI=1.0NE.JPG,1,10,1.444,1.106
C1015_DI=1.0SW.JPG,1,10,1.444,1.106
C307_DI=0.0NW.JPG,0,3,0.742,1.282
C307_DI=0.0SE.JPG,0,3,0.742,1.282
C307_DI=0.2NW.JPG,0.2,3,0.742,1.282
C307_DI=0.2SE.JPG,0.2,3,0.742,1.282
C307_DI=0.4NW.JPG,0.4,3,0.742,1.282
C307_DI=0.4SE.JPG,0.4,3,0.742,1.282
C307_DI=0.6NW.JPG,0.6,3,0.742,1.282
C307_DI=0.6SE.JPG,0.6,3,0.742,1.282
C307_DI=0.8NW.JPG,0.8,3,0.742,1.282
C307_DI=0.8SE.JPG,0.8,3,0.742,1.282
C307_DI=1.0NW.JPG,1,3,0.742,1.282
C307_DI=1.0SE.JPG,1,3,0.742,1.282
C315_DI=0.0NW.JPG,0,3,1.444,1.106
C315_DI=0.0SE.JPG,0,3,1.444,1.106
C315_DI=0.2NW.JPG,0.2,3,1.444,1.106
C315_DI=0.2SE.JPG,0.2,3,1.444,1.106
C315_DI=0.4NW.JPG,0.4,3,1.444,1.106
C315_DI=0.4SE.JPG,0.4,3,1.444,1.106
C315_DI=0.6NW.JPG,0.6,3,1.444,1.106
C315_DI=0.6SE.JPG,0.6,3,1.444,1.106
C315_DI=0.8NW.JPG,0.8,3,1.444,1.106
C315_DI=0.8SE.JPG,0.8,3,1.444,1.106
C315_DI=1.0NW.JPG,1,3,1.444,1.106
C315_DI=1.0SE.JPG,1,3,1.444,1.106
C330_DI=0.0NW.JPG,0,3,2.889,1.106
C330_DI=0.0SE.JPG,0,3,2.889,1.106
C330_DI=0.2NW.JPG,0.2,3,2.889,1.106
C330_DI=0.2SE.JPG,0.2,3,2.889,1.106
C330_DI=0.4NW.JPG,0.4,3,2.889,1.106
C330_DI=0.4SE.JPG,0.4,3,2.889,1.106
C330_DI=0.6NW.JPG,0.6,3,2.889,1.106
C330_DI=0.6SE.JPG,0.6,3,2.889,1.106
C330_DI=0.8NW.JPG,0.8,3,2.889,1.106
C330_DI=0.8SE.JPG,0.8,3,2.889,1.106
C330_DI=1.0NW.JPG,1,3,2.889,1.106
C330_DI=1.0SE.JPG,1,3,2.889,1.106
C615_DI=0.0NW.JPG,0,6,1.444,1.106
C615_DI=0.0SE.JPG,0,6,1.444,1.106
C615_DI=0.2NW.JPG,0.2,6,1.444,1.106
C615_DI=0.2SE.JPG,0.2,6,1.444,1.106
C615_DI=0.4NW.JPG,0.4,6,1.444,1.106
C615_DI=0.4SE.JPG,0.4,6,1.444,1.106
C615_DI=0.6NW.JPG,0.6,6,1.444,1.106
C615_DI=0.6SE.JPG,0.6,6,1.444,1.106
C615_DI=0.8NW.JPG,0.8,6,1.444,1.106
C615_DI=0.8SE.JPG,0.8,6,1.444,1.106
C615_DI=1.0NW.JPG,1,6,1.444,1.106
C615_DI=1.0SE.JPG,1,6,1.444,1.106
